window_id,stage,start_call,end_call,window_len,valid_count,mean_lpips,median_lpips,q90_lpips,q95_lpips,max_lpips,mean_dino,median_dino,q90_dino,q95_dino,max_dino,mean_psnr,q05_psnr,mean_ssim,q05_ssim,failure_rate_lpips_gt_0p001,failure_rate_lpips_gt_0p005,failure_rate_lpips_gt_0p01,failure_rate_lpips_gt_0p02,failure_rate_dino_gt_0p001,failure_rate_dino_gt_0p005,failure_rate_dino_gt_0p01,failure_rate_dino_gt_0p02,status
57,mid,80,87,8,8,0.003286071543698199,0.0030893050134181976,0.00473527405411005,0.005627374537289141,0.006519475020468235,0.0010579004883766174,0.0007649064064025879,0.0023638129234313963,0.002373284101486206,0.0023827552795410156,50.79604482650757,47.3029541015625,0.9985275417566299,0.9974811732769012,1.0,0.125,0.0,0.0,0.375,0.0,0.0,0.0,borderline
58,tail,88,89,2,8,6.107934177634888e-05,5.790063733002171e-05,7.98807195678819e-05,9.338573181594254e-05,0.00010689074406400323,2.170354127883911e-05,1.8209218978881836e-05,4.0423870086669925e-05,4.113316535949707e-05,4.184246063232422e-05,69.18468475341797,65.81487274169922,0.9999755471944809,0.9999596804380417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
59,tail,88,91,4,8,0.0007537184428656474,0.0007229495095089078,0.0009873939969111234,0.001107497655902989,0.001227601314894855,0.000272214412689209,0.00024074316024780273,0.0005170941352844238,0.0005568981170654296,0.0005967020988464355,58.17242383956909,54.758280181884764,0.9996905624866486,0.9995029181241989,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
60,tail,88,93,6,8,0.003375060303369537,0.0032784725772216916,0.004475257080048323,0.004844582499936223,0.005213907919824123,0.00129670649766922,0.0010866820812225342,0.0024597108364105224,0.002920898795127868,0.003382086753845215,51.57888603210449,48.0669361114502,0.9985718578100204,0.9977099061012268,1.0,0.125,0.0,0.0,0.5,0.0,0.0,0.0,borderline
61,tail,90,91,2,8,8.674213495396543e-05,8.462908954243176e-05,0.00010720286663854494,0.00012121984691475516,0.00013523682719096541,3.375113010406494e-05,3.167986869812012e-05,5.868077278137207e-05,6.608664989471434e-05,7.349252700805664e-05,67.82721900939941,64.51003456115723,0.9999652057886124,0.999944868683815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
62,tail,90,93,4,8,0.0010476934621692635,0.001026404497679323,0.001328051823657006,0.001449003251036629,0.0015699546784162521,0.00042323023080825806,0.0003820657730102539,0.0007706284523010253,0.0009590089321136471,0.0011473894119262695,56.81390714645386,53.408883285522464,0.9995628073811531,0.9993093967437744,0.75,0.0,0.0,0.0,0.125,0.0,0.0,0.0,safe
63,tail,90,95,6,8,0.004850749071920291,0.004820643924176693,0.006122872466221452,0.006478506955318152,0.006834141444414854,0.00214192271232605,0.0015423893928527832,0.0040519475936889645,0.0057777881622314425,0.007503628730773926,49.91644620895386,46.494578742980956,0.997883215546608,0.9967427015304565,1.0,0.375,0.0,0.0,0.625,0.125,0.0,0.0,borderline
64,tail,92,93,2,8,0.00012964965844730614,0.00013076271716272458,0.0001586791215231642,0.00017539156542625275,0.00019210400932934135,5.4016709327697754e-05,4.836916923522949e-05,9.466409683227538e-05,0.00012541413307189938,0.00015616416931152344,66.09767293930054,62.811560249328615,0.9999474138021469,0.9999179780483246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
65,tail,92,95,4,8,0.0016625523348920979,0.0015668868436478078,0.002303961827419698,0.00237060486106202,0.002437247894704342,0.0007512420415878296,0.0005173087120056152,0.0014253258705139156,0.002128988504409789,0.002832651138305664,54.64019441604614,51.42210235595703,0.9992831125855446,0.9989591330289841,0.875,0.0,0.0,0.0,0.125,0.0,0.0,0.0,safe
66,tail,92,97,6,8,0.007217194011900574,0.0061767492443323135,0.010648914054036139,0.012892887648195024,0.015136861242353916,0.003459647297859192,0.0018897950649261475,0.0067803621292114235,0.010943758487701408,0.015107154846191406,47.3377366065979,44.18412742614746,0.9964342713356018,0.9945720553398132,1.0,0.875,0.125,0.0,0.75,0.125,0.125,0.0,borderline
67,tail,94,95,2,8,0.0002599814642962883,0.00022715800150763243,0.0003963765106163919,0.0004897606442682443,0.0005831447779200971,0.00010897219181060791,7.233023643493652e-05,0.0002070903778076171,0.00032658576965332014,0.00044608116149902344,62.7971625328064,59.859266662597655,0.9998894780874252,0.999813762307167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,safe
68,tail,94,97,4,8,0.002831006873748265,0.002059293328784406,0.004581022984348237,0.006248074106406418,0.007915125228464603,0.001324482262134552,0.0006800293922424316,0.0026300013065338125,0.004362705349922178,0.006095409393310547,51.09708547592163,48.09298725128174,0.9985489025712013,0.9973203629255295,1.0,0.125,0.0,0.0,0.375,0.125,0.0,0.0,borderline
69,tail,96,97,2,8,0.0005011945104342885,0.0003362073184689507,0.0008583444054238497,0.001210031117079779,0.0015617178287357092,0.00022511184215545654,0.00012195110321044922,0.00044167637825012193,0.0007336765527725215,0.0010256767272949219,57.69930410385132,54.62045612335205,0.9997163563966751,0.999460980296135,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,safe
